country,state,city,lng,lat
Argentina,Buenos Aires,General Belgrano,-58.4934,-35.7695
Argentina,Tucumán,Aguilares,-65.6143,-27.4338
Argentina,Catamarca,Bañado de Ovanta,-65.3188,-28.1056
Argentina,Córdoba,Villa del Rosario,-63.5345,-31.5566
Argentina,San Juan,Villa del Salvador,-68.3975,-31.4415
Argentina,Córdoba,Villa del Totoral,-63.7167,-30.8167
Argentina,Mendoza,Luján de Cuyo,-68.8778,-33.0355
Argentina,Tucumán,San Isidro de Lules,-65.3387,-26.9277
Argentina,Jujuy,Palpalá,-65.2116,-24.2565
Argentina,La Pampa,Winifreda,-64.2339,-36.2264
Argentina,Chaco,Puerto Tirol,-59.0821,-27.3722
Argentina,Salta,Guachipas,-65.5094,-25.5203
Argentina,Santa Fe,Casilda,-61.1681,-33.0442
Argentina,Córdoba,Cruz del Eje,-64.8039,-30.7264
Argentina,Buenos Aires,Villa Gesell,-56.9845,-37.2695
Argentina,San Luis,Villa General Roca,-66.4505,-32.6653
Argentina,Chaco,Corzuela,-60.9693,-26.9537
Argentina,Córdoba,Cosquín,-64.4656,-31.2451
Argentina,Salta,La Candelaria,-65.0496,-26.1271
Argentina,Buenos Aires,Pellegrini,-63.1655,-36.2658
Argentina,Mendoza,Rivadavia,-68.4608,-33.1905
Argentina,Buenos Aires,Pilar,-58.9142,-34.4587
Argentina,Córdoba,Marcos Juárez,-62.1067,-32.6978
Argentina,Buenos Aires,Marcos Paz,-58.8379,-34.7806
Argentina,San Juan,Villa Santa Rosa,-68.3141,-31.7443
Argentina,La Rioja,Villa Unión,-68.2266,-29.3159
Argentina,San Juan,San Agustín de Valle Fértil,-67.4682,-30.6335
Argentina,Formosa,Laguna Yema,-61.2447,-24.2539
Argentina,Santa Fe,Melincué,-61.4546,-33.6585
Argentina,Santiago del Estero,La Cañada,-63.7737,-27.7083
Argentina,Salta,Iruya,-65.2333,-22.7667
Argentina,Buenos Aires,Pigüé,-62.4033,-37.6051
Argentina,San Luis,Buena Esperanza,-65.2538,-34.7565
Argentina,Chaco,Quitilipi,-60.2168,-26.8691
Argentina,Santa Fe,Cañada de Gómez,-61.3949,-32.8164
Argentina,La Pampa,Realicó,-64.2447,-35.0366
Argentina,Santa Fe,Villa Constitución,-60.3297,-33.2278
Argentina,Corrientes,San Cosme,-58.5121,-27.3712
Argentina,Chaco,Presidencia de la Plaza,-59.8424,-27.0015
Argentina,Buenos Aires,Baradero,-59.5081,-33.8110
Argentina,San Juan,San Martín,-68.5006,-31.4296
Argentina,Buenos Aires,Las Flores,-59.0998,-36.0140
Argentina,Buenos Aires,General San Martín,-58.5350,-34.5742
Argentina,Buenos Aires,Berazategui,-58.1986,-34.7557
Argentina,Misiones,Apóstoles,-55.7536,-27.9142
Argentina,Corrientes,Itatí,-58.2446,-27.2704
Argentina,Formosa,General Enrique Mosconi,-62.3000,-23.2167
Argentina,Córdoba,Jesús María,-64.0942,-30.9815
Argentina,Catamarca,San Antonio,-65.0974,-28.9331
Argentina,Buenos Aires,Monte Hermoso,-61.5500,-38.9167
Argentina,La Rioja,Sañogasta,-67.1159,-29.0952
Argentina,Chaco,Hermoso Campo,-61.3444,-27.6082
Argentina,Tucumán,Famaillá,-65.4033,-27.0541
Argentina,La Rioja,Famatina,-67.5225,-28.9232
Argentina,Santiago del Estero,Selva,-62.0477,-29.7678
Argentina,San Juan,Chimbas,-68.5333,-31.4833
Argentina,Buenos Aires,San Justo,-58.5606,-34.6766
Argentina,San Juan,Villa San Isidro,-68.3254,-31.4868
Argentina,Buenos Aires,General Las Heras,-58.9462,-34.9273
Argentina,Chaco,General José de San Martín,-59.3416,-26.5374
Argentina,Buenos Aires,General Juan Madariaga,-57.1395,-36.9973
Argentina,Buenos Aires,General La Madrid,-61.2627,-37.2476
Argentina,Chubut,Las Plumas,-67.2832,-43.7206
Argentina,Santiago del Estero,Herrera,-63.0678,-28.4809
Argentina,Santiago del Estero,Quimilí,-62.4167,-27.6333
Argentina,Corrientes,Berón de Astrada,-57.5346,-27.5507
Argentina,La Pampa,Bernasconi,-63.7424,-37.9046
Argentina,Misiones,El Soberbio,-54.1988,-27.2985
Argentina,Buenos Aires,Coronel Pringles,-61.3562,-37.9829
Argentina,Misiones,Campo Grande,-54.9798,-27.2077
Argentina,La Pampa,Veinticinco de Mayo,-67.7164,-37.7741
Argentina,Buenos Aires,Belén de Escobar,-58.7927,-34.3483
